code,location,interlevel,original
012812057,SAN GUILLERMO,Bgy,False
012812058,"BGY. NO. 15, SAN GUILLERMO (POB.)",Bgy,True
012812058,SAN GUILLERMO,Bgy,False
012812058,BGY. NO. 15,Bgy,False
012812059,SAN ISIDRO,Bgy,False
012812059,"BGY. NO. 12, SAN ISIDRO (POB.)",Bgy,True
012812059,BGY. NO. 12,Bgy,False
012812060,"BGY. NO. 16, SAN JACINTO (POB.)",Bgy,True
012812060,SAN JACINTO,Bgy,False
012812060,BGY. NO. 16,Bgy,False
012812061,"BGY. NO. 10, SAN JOSE (POB.)",Bgy,True
012812061,SAN JOSE,Bgy,False
012812061,BGY. NO. 10,Bgy,False
012812062,"BGY. NO. 1, SAN LORENZO (POB.)",Bgy,True
012812062,SAN LORENZO,Bgy,False
012812062,BGY. NO. 1,Bgy,False
012812063,"BGY. NO. 26, SAN MARCELINO (POB.)",Bgy,True
012812063,SAN MARCELINO,Bgy,False
012812063,BGY. NO. 26,Bgy,False
012812064,BGY. NO. 52-A,Bgy,False
012812064,"BGY. NO. 52-A, SAN MATEO",Bgy,True
012812064,SAN MATEO,Bgy,False
012812065,BGY. NO. 23,Bgy,False
012812065,"BGY. NO. 23, SAN MATIAS (POB.)",Bgy,True
012812065,SAN MATIAS,Bgy,False
012812066,SAN MIGUEL,Bgy,False
012812066,BGY. NO. 20,Bgy,False
012812066,"BGY. NO. 20, SAN MIGUEL (POB.)",Bgy,True
012812067,SAN PEDRO,Bgy,False
012812067,BGY. NO. 21,Bgy,False
012812067,"BGY. NO. 21, SAN PEDRO (POB.)",Bgy,True
012812068,SAN PEDRO,Bgy,False
012812068,BGY. NO. 5,Bgy,False
012812068,"BGY. NO. 5, SAN PEDRO (POB.)",Bgy,True
012812069,SAN QUIRINO,Bgy,False
012812069,BRY. NO. 18,Bgy,False
012812069,"BRY. NO. 18, SAN QUIRINO (POB.)",Bgy,True
012812070,SAN VICENTE,Bgy,False
012812070,BGY. NO. 8,Bgy,False
012812070,"BGY. NO. 8, SAN VICENTE (POB.)",Bgy,True
012812071,BGY. NO. 9,Bgy,False
012812071,"BGY. NO. 9, SANTA ANGELA (POB.)",Bgy,True
012812071,SANTA ANGELA,Bgy,False
012812072,BGY. NO. 11,Bgy,False
012812072,SANTA BALBINA,Bgy,False
012812072,"BGY. NO. 11, SANTA BALBINA (POB.)",Bgy,True
012812073,BGY. NO. 25,Bgy,False
012812073,SANTA CAYETANA,Bgy,False
012812073,"BGY. NO. 25, SANTA CAYETANA (POB.)",Bgy,True
012812074,SANTA JOAQUINA,Bgy,False
012812074,BGY. NO. 2,Bgy,False
012812074,"BGY. NO. 2, SANTA JOAQUINA (POB.)",Bgy,True
012812075,"BGY. NO. 19, SANTA MARCELA (POB.)",Bgy,True
012812075,SANTA MARCELA,Bgy,False
012812075,BGY. NO. 19,Bgy,False
012812076,"BGY. NO. 30-B, SANTA MARIA",Bgy,True
012812076,BGY. NO. 30-B,Bgy,False
012812076,SANTA MARIA,Bgy,False
012812077,"BGY. NO. 39, SANTA ROSA",Bgy,True
012812077,BGY. NO. 39,Bgy,False
012812077,SANTA ROSA,Bgy,False
012812078,BGY. NO. 14,Bgy,False
012812078,"BGY. NO. 14, SANTO TOMAS (POB.)",Bgy,True
012812078,SANTO TOMAS,Bgy,False
012812079,SANTO TOMAS,Bgy,False
012812079,"BGY. NO. 29, SANTO TOMAS (POB.)",Bgy,True
012812079,BGY. NO. 29,Bgy,False
012812080,SUYO,Bgy,False
012812080,BGY. NO. 30-A,Bgy,False
012812080,"BGY. NO. 30-A, SUYO",Bgy,True
012812081,"BGY. NO. 31, TALINGAAN",Bgy,True
012812081,TALINGAAN,Bgy,False
012812081,BGY. NO. 31,Bgy,False
012812082,BGY. NO. 45,Bgy,False
012812082,TANGID,Bgy,False
012812082,"BGY. NO. 45, TANGID",Bgy,True
012812083,BGY. NO. 55-C,Bgy,False
012812083,VIRA,Bgy,False
012812083,"BGY. NO. 55-C, VIRA",Bgy,True
012812084,"BGY. NO. 44, ZAMBOANGA",Bgy,True
012812084,BGY. NO. 44,Bgy,False
012812084,ZAMBOANGA,Bgy,False
012813000,MARCOS,Mun,True
012813001,PACIFICO (AGUNIT),Bgy,True
012813001,AGUNIT,Bgy,False
012813001,PACIFICO,Bgy,False
012813003,CAPARIAAN,Bgy,False
012813003,IMELDA,Bgy,False
012813003,IMELDA (CAPARIAAN),Bgy,True
012813004,ELIZABETH,Bgy,False
012813004,CULAO,Bgy,False
012813004,ELIZABETH (CULAO),Bgy,True
012813005,DAQUIOAG,Bgy,True
012813006,ESCODA,Bgy,True
012813007,FERDINAND,Bgy,True
012813008,FORTUNA,Bgy,True
012813009,LYDIA,Bgy,False
012813009,LYDIA (POB.),Bgy,True
012813010,MABUTI,Bgy,True
012813011,VALDEZ (BIDING),Bgy,True
012813011,BIDING,Bgy,False
012813011,VALDEZ,Bgy,False
012813012,TABUCBUC (RAGAS),Bgy,True
012813012,TABUCBUC,Bgy,False
012813012,RAGAS,Bgy,False
012813013,SANTIAGO,Bgy,True
012813014,CACAFEAN,Bgy,True
012814000,NUEVA ERA,Mun,True
012814001,ACNAM,Bgy,True
012814002,BARANGOBONG,Bgy,True
012814003,BARIKIR,Bgy,True
012814004,BUGAYONG,Bgy,True
012814005,CABITTAURAN,Bgy,True
